# Wavelength(microns)  (Rp/Rs)^2  Error
4.956361e+01 2.244066e-02 1.498021e-01
4.956031e+01 2.330951e-02 1.526745e-01
4.955701e+01 2.332442e-02 1.527233e-01
4.955370e+01 2.267366e-02 1.505778e-01
4.955040e+01 2.242893e-02 1.497629e-01
4.954710e+01 2.203984e-02 1.484582e-01
4.954379e+01 2.195849e-02 1.481840e-01
4.954049e+01 2.194392e-02 1.481348e-01
4.953719e+01 2.196670e-02 1.482117e-01
4.953388e+01 2.199695e-02 1.483137e-01
4.953058e+01 2.217994e-02 1.489293e-01
4.952728e+01 2.225284e-02 1.491739e-01
4.952398e+01 2.232635e-02 1.494200e-01
4.952068e+01 2.227381e-02 1.492441e-01
4.951738e+01 2.207434e-02 1.485744e-01
4.951408e+01 2.200702e-02 1.483476e-01
4.951078e+01 2.197469e-02 1.482386e-01
4.950747e+01 2.206395e-02 1.485394e-01
4.950417e+01 2.211617e-02 1.487151e-01
4.950087e+01 2.214801e-02 1.488221e-01
4.949757e+01 2.221628e-02 1.490513e-01
4.949427e+01 2.223258e-02 1.491059e-01
4.949098e+01 2.222028e-02 1.490647e-01
4.948768e+01 2.216521e-02 1.488799e-01
4.948438e+01 2.213491e-02 1.487780e-01
4.948108e+01 2.193004e-02 1.480879e-01
4.947778e+01 2.197604e-02 1.482432e-01
4.947448e+01 2.206850e-02 1.485547e-01
4.947118e+01 2.203143e-02 1.484299e-01
4.946789e+01 2.198257e-02 1.482652e-01
4.946459e+01 2.234466e-02 1.494813e-01
4.946129e+01 2.312267e-02 1.520614e-01
4.945799e+01 2.271732e-02 1.507227e-01
4.945470e+01 2.208156e-02 1.485987e-01
4.945140e+01 2.211535e-02 1.487123e-01
4.944810e+01 2.209690e-02 1.486503e-01
4.944481e+01 2.207950e-02 1.485917e-01
4.944151e+01 2.207284e-02 1.485693e-01
4.943821e+01 2.207481e-02 1.485759e-01
4.943492e+01 2.203185e-02 1.484313e-01
4.943162e+01 2.202994e-02 1.484249e-01
4.942833e+01 2.207684e-02 1.485828e-01
4.942503e+01 2.212027e-02 1.487288e-01
4.942174e+01 2.213976e-02 1.487944e-01
4.941844e+01 2.213001e-02 1.487616e-01
4.941515e+01 2.212400e-02 1.487414e-01
4.941186e+01 2.215039e-02 1.488301e-01
4.940856e+01 2.218477e-02 1.489455e-01
4.940527e+01 2.223119e-02 1.491013e-01
4.940197e+01 2.228976e-02 1.492976e-01
4.939868e+01 2.236009e-02 1.495329e-01
4.939539e+01 2.249199e-02 1.499733e-01
4.939210e+01 2.320076e-02 1.523180e-01
4.938880e+01 2.328119e-02 1.525818e-01
4.938551e+01 2.257173e-02 1.502389e-01
4.938222e+01 2.245232e-02 1.498410e-01
4.937893e+01 2.230122e-02 1.493359e-01
4.937563e+01 2.225050e-02 1.491660e-01
4.937234e+01 2.221816e-02 1.490576e-01
4.936905e+01 2.224353e-02 1.491426e-01
4.936576e+01 2.279786e-02 1.509896e-01
4.936247e+01 2.284881e-02 1.511582e-01
4.935918e+01 2.263445e-02 1.504475e-01
4.935589e+01 2.253029e-02 1.501009e-01
4.935260e+01 2.232347e-02 1.494104e-01
4.934931e+01 2.233569e-02 1.494513e-01
4.934602e+01 2.237736e-02 1.495906e-01
4.934273e+01 2.249429e-02 1.499810e-01
4.933944e+01 2.402331e-02 1.549946e-01
4.933615e+01 2.416943e-02 1.554652e-01
4.933286e+01 2.355258e-02 1.534685e-01
4.932957e+01 2.289151e-02 1.512994e-01
4.932629e+01 2.239074e-02 1.496353e-01
4.932300e+01 2.230035e-02 1.493330e-01
4.931971e+01 2.225434e-02 1.491789e-01
4.931642e+01 2.222233e-02 1.490716e-01
4.931313e+01 2.219629e-02 1.489842e-01
4.930985e+01 2.217544e-02 1.489142e-01
4.930656e+01 2.216350e-02 1.488741e-01
4.930327e+01 2.216260e-02 1.488711e-01
4.929999e+01 2.225619e-02 1.491851e-01
4.929670e+01 2.234012e-02 1.494661e-01
4.929341e+01 2.227492e-02 1.492479e-01
4.929013e+01 2.232505e-02 1.494157e-01
4.928684e+01 2.249406e-02 1.499802e-01
4.928356e+01 2.256896e-02 1.502297e-01
4.928027e+01 2.256383e-02 1.502126e-01
4.927699e+01 2.248092e-02 1.499364e-01
4.927370e+01 2.235102e-02 1.495026e-01
4.927042e+01 2.225766e-02 1.491900e-01
4.926713e+01 2.218722e-02 1.489537e-01
4.926385e+01 2.213735e-02 1.487862e-01
4.926056e+01 2.210105e-02 1.486642e-01
4.925728e+01 2.207350e-02 1.485715e-01
4.925400e+01 2.205246e-02 1.485007e-01
4.925071e+01 2.203767e-02 1.484509e-01
4.924743e+01 2.203174e-02 1.484309e-01
4.924415e+01 2.207928e-02 1.485910e-01
4.924086e+01 2.241683e-02 1.497225e-01
4.923758e+01 2.222412e-02 1.490775e-01
4.923430e+01 2.226657e-02 1.492199e-01
4.923102e+01 2.262125e-02 1.504036e-01
4.922773e+01 2.214210e-02 1.488022e-01
4.922445e+01 2.198129e-02 1.482609e-01
4.922117e+01 2.198700e-02 1.482801e-01
4.921789e+01 2.200707e-02 1.483478e-01
4.921461e+01 2.197291e-02 1.482326e-01
4.921133e+01 2.199116e-02 1.482942e-01
4.920805e+01 2.199784e-02 1.483167e-01
4.920477e+01 2.195907e-02 1.481859e-01
4.920149e+01 2.191516e-02 1.480377e-01
4.919821e+01 2.189701e-02 1.479764e-01
4.919493e+01 2.189596e-02 1.479728e-01
4.919165e+01 2.189977e-02 1.479857e-01
4.918837e+01 2.190055e-02 1.479883e-01
4.918509e+01 2.189180e-02 1.479588e-01
4.918181e+01 2.188593e-02 1.479389e-01
4.917853e+01 2.189468e-02 1.479685e-01
4.917526e+01 2.188668e-02 1.479415e-01
4.917198e+01 2.187875e-02 1.479147e-01
4.916870e+01 2.188210e-02 1.479260e-01
4.916542e+01 2.190172e-02 1.479923e-01
4.916214e+01 2.191149e-02 1.480253e-01
4.915887e+01 2.194575e-02 1.481410e-01
4.915559e+01 2.196886e-02 1.482190e-01
